Phrase,Sentiment
156061,2
156062,2
156063,2
156064,2
156065,2
156066,2
156067,2
156068,2
156069,2
156070,2
156071,2
156072,2
156073,2
156074,2
156075,2
156076,2
156077,2
156078,2
156079,2
156080,2
156081,2
156082,2
156083,2
156084,2
156085,2
156086,2
156087,2
156088,2
156089,2
156090,2
156091,2
156092,2
156093,2
156094,2
156095,2
156096,2
156097,2
156098,2
156099,2
156100,2
156101,2
156102,2
156103,2
156104,2
156105,2
156106,2
156107,2
156108,2
156109,2
156110,2
156111,2
156112,2
156113,2
156114,2
156115,2
156116,2
156117,2
156118,2
156119,2
156120,2
156121,2
156122,1
156123,2
156124,2
156125,3
156126,2
156127,2
156128,2
156129,2
156130,2
156131,2
156132,2
156133,2
156134,2
156135,2
156136,2
156137,2
156138,2
156139,2
156140,2
156141,1
156142,2
156143,2
156144,2
156145,2
156146,2
156147,2
156148,2
156149,2
156150,3
156151,2
156152,2
156153,2
156154,2
156155,2
156156,2
156157,2
156158,2
156159,2
156160,2
156161,2
156162,2
156163,2
156164,2
156165,2
156166,2
156167,2
156168,2
156169,2
156170,2
156171,2
156172,2
156173,2
156174,2
156175,2
156176,2
156177,2
156178,2
156179,2
156180,2
156181,2
156182,2
156183,2
156184,2
156185,2
156186,2
156187,2
156188,2
156189,2
156190,2
156191,2
156192,2
156193,2
156194,2
156195,2
156196,2
156197,2
156198,2
156199,2
156200,2
156201,2
156202,2
156203,2
156204,2
156205,2
156206,2
156207,2
156208,2
156209,2
156210,2
156211,2
156212,2
156213,2
156214,2
156215,2
156216,2
156217,2
156218,2
156219,2
156220,2
156221,2
156222,2
156223,1
156224,1
156225,1
156226,1
156227,2
156228,2
156229,2
156230,2
156231,2
156232,2
156233,2
156234,2
156235,2
156236,2
156237,2
156238,2
156239,2
156240,2
156241,2
156242,2
156243,2
156244,2
156245,2
156246,2
156247,2
156248,2
156249,2
156250,2
156251,2
156252,2
156253,2
156254,2
156255,3
156256,3
156257,3
156258,2
156259,3
156260,2
156261,2
156262,3
156263,2
156264,3
156265,2
156266,2
156267,2
156268,2
156269,2
156270,2
156271,2
156272,2
156273,2
156274,2
156275,2
156276,3
156277,2
156278,2
156279,2
156280,2
156281,2
156282,2
156283,2
156284,2
156285,2
156286,2
156287,2
156288,2
156289,4
156290,2
156291,2
156292,2
156293,2
156294,2
156295,2
156296,2
156297,2
156298,2
156299,2
156300,2
156301,2
156302,2
156303,2
156304,2
156305,2
156306,2
156307,2
156308,2
156309,2
156310,2
156311,2
156312,2
156313,2
156314,2
156315,2
156316,2
156317,2
156318,2
156319,2
156320,2
156321,2
156322,2
156323,2
156324,3
156325,2
156326,2
156327,2
156328,3
156329,3
156330,2
156331,2
156332,2
156333,3
156334,3
156335,2
156336,2
156337,2
156338,3
156339,2
156340,3
156341,2
156342,2
156343,2
156344,2
156345,2
156346,2
156347,2
156348,2
156349,2
156350,2
156351,2
156352,2
156353,2
156354,2
156355,2
156356,3
156357,3
156358,3
156359,2
156360,3
156361,2
