PhraseId,Sentiment
7765,1
7765,1
5585,2
5585,1
5585,1
5585,2
5585,2
17792,2
7463,2
8221,2
8221,2
17022,2
18328,2
15650,2
16468,2
16468,3
16412,2
16412,3
16412,3
16412,2
1251,2
19249,2
19249,3
19249,2
14062,2
14062,2
19368,2
16981,2
16981,3
1588,2
1588,3
1588,3
1588,3
1588,2
13557,2
460,2
460,3
460,2
12439,2
12439,2
3392,2
3392,2
3392,2
3392,2
15103,2
15193,2
3671,2
3671,2
1262,2
1283,2
1283,3
19249,2
19249,3
19249,3
16292,3
16292,3
6326,3
6326,2
11389,2
9115,2
9115,2
9329,2
9329,2
10523,2
16981,2
14740,2
11640,2
11640,2
12557,2
12557,2
11272,2
11272,2
11272,2
18342,2
5218,2
5218,2
19249,2
19249,2
13665,2
13665,2
7073,1
5218,2
820,2
820,2
18531,2
12439,2
19249,2
4773,2
4773,2
13684,2
13684,2
800,2
6017,2
6017,1
6017,2
9223,2
9223,2
12318,2
12318,2
17069,2
17069,2
16232,2
16232,2
173,2
4592,2
4592,2
19249,2
19249,2
11780,2
8686,2
8686,2
8686,2
3671,2
11738,2
11738,2
12580,2
13880,2
13880,3
8590,2
8590,3
8590,3
740,2
740,3
13880,2
13880,3
13880,2
8149,2
8149,2
460,2
3671,2
3671,2
9580,2
16492,2
16492,2
19249,2
18756,2
18756,2
4541,2
15851,2
16644,2
16644,3
7663,2
7663,3
9743,2
9743,3
8681,2
8681,2
5218,2
9709,3
9709,2
9709,2
4508,2
4508,2
15945,2
2168,2
2168,2
4101,2
15796,2
15796,1
10575,2
10575,1
10575,1
10575,1
10575,1
10575,1
10575,1
3873,2
7680,2
7680,1
16912,1
16912,2
14956,2
14956,2
19003,2
289,1
289,3
15401,2
15401,3
3671,2
3671,3
1603,2
5218,2
14739,3
14739,3
7938,3
7938,3
7938,2
16172,2
9709,3
9709,3
9709,3
9709,3
9709,3
8056,3
8056,3
8056,3
8056,3
2067,2
14746,3
14746,2
19249,2
19249,3
14635,2
14635,2
5044,2
5044,2
11363,2
3556,2
3556,2
830,2
9345,2
9345,3
1588,2
1588,3
1588,2
3671,3
3671,3
3671,2
3671,2
3671,2
3671,2
2136,3
3671,3
3263,2
3671,2
3671,3
7422,3
7422,3
5339,4
16912,2
19249,2
7899,2
7899,2
5524,2
4244,2
4244,2
1075,2
1075,2
16644,2
3671,2
3671,2
19394,2
16412,2
5438,2
5438,2
5052,2
5052,2
10561,2
10561,2
1588,2
1588,2
1607,2
7301,1
7301,2
19249,3
13207,2
13207,2
1990,2
1990,2
8520,2
8520,2
14246,2
19249,2
19249,1
19249,2
17056,2
5218,2
19249,2
19249,2
19249,2
5647,2
19249,2
19249,2
19249,1
19249,1
19249,1
3774,2
3774,1
9944,2
5218,1
19249,2
3688,2
3688,2
17053,2
19249,2
19249,2
19424,2
14809,2
14809,2
12439,2
19249,2
13591,2
13591,2
14274,2
4601,2
4601,2
4601,2
4601,2
7403,2
7102,2
19249,2
19249,3
980,2
980,3
980,3
2712,2
2712,3
2712,1
2712,3
2712,3
2712,3
2712,3
4854,1
4854,3
11668,3
2712,2
4854,3
15655,3
8746,2
8746,2
3671,2
2608,3
5052,3
7159,2
7159,2
7159,3
7159,2
16488,2
16488,2
16896,2
16896,2
8067,2
8067,2
11824,2
1385,2
1385,2
1828,2
1828,2
19249,2
19249,2
365,2
5218,2
17703,2
7765,2
7765,3
7765,3
10032,3
10032,3
15193,2
14093,3
14093,3
14093,3
14093,2
14093,2
3343,2
11456,2
11456,3
14435,3
19016,2
19016,2
16492,2
19249,2
19249,2
14780,2
14780,2
2944,3
5218,2
19249,2
14222,2
9345,2
15014,1
15014,1
15014,1
15014,2
15014,2
19249,2
19249,2
18431,2
18431,2
13587,2
5218,2
5466,2
5466,2
7195,2
4378,2
4378,1
19249,2
19249,1
3964,2
5218,2
15637,1
15637,1
16981,2
16412,1
8234,1
8234,2
8234,2
8234,2
1283,2
19249,2
6104,2
6104,2
6104,2
14162,2
4244,2
19249,2
19249,2
91,2
91,2
91,2
91,2
17913,2
17913,2
10462,2
692,2
5218,2
356,2
356,2
356,2
6773,2
5438,2
8429,2
8429,2
8429,2
4211,2
11640,2
11640,3
18380,3
18380,3
4477,2
4477,2
16492,3
12298,2
12298,2
12298,2
12298,2
14560,2
14560,2
11661,2
9458,2
9458,2
14560,3
5463,2
15193,2
9223,2
11416,2
11416,2
11416,2
16912,2
3671,2
3671,2
3671,2
8668,2
8668,2
4294,2
4294,2
2227,2
2227,2
18849,3
1520,2
5407,2
5407,2
5407,2
8914,2
7829,2
7829,2
19249,2
5842,2
5842,2
4244,2
6518,2
6518,2
6518,2
4631,2
15892,2
16912,2
16912,1
9709,1
16232,1
12960,2
12960,2
457,1
15193,2
6236,3
6236,3
6236,1
6236,2
16539,2
5218,2
19249,2
1723,2
1723,2
13086,2
16412,2
16412,2
16412,2
16412,2
5061,2
12439,2
3671,2
3671,2
3671,2
10329,2
19421,2
19421,2
9345,2
11973,0
11973,0
11973,0
4824,2
4824,0
1713,2
1713,2
4244,2
7940,2
7940,2
5218,2
3671,2
3671,2
13307,2
13307,2
16981,2
16449,0
16449,0
10626,2
10626,0
4508,2
1713,0
4244,0
10172,4
10172,4
4508,2
18631,3
18631,4
15325,2
19249,4
19249,3
6682,2
6682,2
6682,2
6430,2
1976,2
1976,3
1976,3
1635,2
7365,2
7365,1
7365,1
7365,2
9735,2
17476,1
17476,2
17476,2
17069,2
19249,2
19249,2
1692,2
5218,2
5805,2
5805,2
5805,2
5805,2
5243,2
13062,2
13062,2
10491,2
4592,1
19249,1
16412,1
16412,1
16412,1
5927,2
3671,2
1356,1
1356,1
1356,2
1176,2
11815,2
4508,2
4508,1
4508,2
4508,2
1262,2
10297,2
4244,2
19001,2
19001,2
19077,2
16412,2
16412,1
19249,1
19249,1
11640,2
16644,2
8585,1
8585,1
8585,2
8585,2
6160,2
12439,1
3671,2
9599,2
9599,2
11943,2
16412,2
4244,1
19001,1
19001,1
19001,2
13288,2
4551,2
3671,2
9794,2
9794,2
9794,2
10761,1
10761,2
9183,2
9183,2
9183,2
11630,2
4168,2
3671,2
3671,1
3671,1
3671,2
3671,2
3671,1
14386,2
14386,2
2102,1
5218,2
3084,2
3084,2
1833,2
1833,2
1833,2
5218,2
17023,2
10127,2
10127,2
18577,2
18577,2
18577,1
4113,2
4113,2
4244,2
19249,2
8290,2
8290,2
632,2
632,2
4898,2
4898,2
11288,2
12663,2
12663,2
10782,2
10782,2
9709,2
4332,2
10954,2
10954,1
10954,2
10478,2
10478,2
14490,2
16412,2
7765,1
7765,1
2098,1
2098,1
15193,2
18299,1
18299,1
15193,2
8570,1
8570,2
11312,1
11312,2
6202,2
6915,2
6915,3
3671,2
3671,2
3671,3
12809,2
12809,2
11169,2
3671,2
7717,2
4539,2
9223,2
18577,1
18577,1
12663,1
12663,3
4244,2
8176,2
8176,2
16492,2
14254,2
4244,2
7549,3
7549,3
19249,3
19249,2
19249,3
10275,2
10275,2
3624,2
5218,2
5765,2
5765,2
5765,2
9191,2
16122,1
16122,3
15193,2
9345,3
8344,3
8344,3
8344,3
8872,1
8872,3
8872,2
16981,2
16981,3
19273,3
19273,3
16737,3
3525,3
3525,2
5320,2
5320,2
6915,2
6915,2
6915,2
3188,2
3188,2
3188,2
640,2
11640,2
2067,2
6915,2
6076,2
6076,2
16509,2
16509,2
10947,3
14014,2
14014,3
14014,2
12695,2
12695,2
3397,2
3397,2
4244,1
19249,2
19249,2
14637,2
5218,2
16889,2
16889,2
3671,2
1783,2
1783,2
14145,2
15193,2
19249,3
15401,3
15401,4
15401,3
15401,3
3671,3
3671,3
5073,3
5073,3
1557,3
5218,2
5453,2
5666,2
7765,3
7765,3
12695,2
12695,2
12695,2
1615,3
15193,3
7463,2
12226,2
12226,2
7453,2
7453,2
17408,2
6682,2
3671,2
3671,4
3671,2
3980,2
3980,2
17569,1
6915,2
3671,2
1122,2
1122,2
13648,2
8234,2
8234,4
8234,4
8234,4
3671,4
7422,2
10586,2
1283,2
3671,2
3671,2
8282,2
5218,2
15717,2
15717,2
15717,2
15717,2
17121,3
3671,2
13665,2
10665,2
12439,2
14162,1
2724,2
2724,1
10489,2
10489,1
17557,2
17557,1
1043,2
1043,2
5458,2
3671,2
3671,2
18412,1
18412,3
14361,2
3153,4
3153,2
3153,2
16981,2
15193,2
9183,2
9183,2
5024,2
5024,2
7532,2
15193,2
19084,2
19084,2
9836,2
9836,2
4244,2
16514,2
16514,2
5218,2
2182,2
2182,2
2182,2
2182,2
12439,2
19249,2
11753,2
16232,2
16232,2
16232,2
16970,3
16970,3
14331,2
13570,2
13570,2
17340,2
9183,2
9183,3
9183,3
13880,3
13880,3
245,2
7259,3
7259,3
1615,2
1615,3
1615,2
9115,3
7102,2
13556,2
13556,2
12459,2
12459,2
9345,2
11973,2
4824,2
1480,2
1480,2
13801,2
13801,2
4244,2
18521,2
18521,2
19249,2
3888,2
3888,2
15459,2
9345,2
1588,1
1588,1
8629,2
8629,2
4244,2
17903,2
17903,3
4378,1
19249,2
8797,2
8797,2
6554,2
17438,2
17438,3
17438,3
4378,2
11255,3
11255,3
11255,3
11255,2
18586,2
16778,2
16778,3
15851,2
18992,2
18992,3
16801,2
16981,3
4508,2
4508,2
3871,2
3871,2
4673,1
4673,2
12816,2
12816,2
15064,2
15064,2
12641,2
17182,2
17182,3
17182,2
16232,2
14925,2
15193,2
8035,1
8035,1
8035,2
8035,2
7540,2
16412,2
16412,1
16412,1
16412,1
16412,1
3671,1
4641,2
17912,2
17912,1
9345,2
16412,1
11640,1
14524,2
14524,2
11640,2
16107,2
16981,2
5013,2
5013,2
5013,2
5013,2
5013,2
4854,2
4854,2
4854,2
4854,2
5218,3
5218,2
19249,2
19249,2
19249,2
3280,2
12194,2
12194,2
14152,2
14152,2
10322,2
10322,2
10619,2
2265,2
5218,1
11593,2
6057,2
6057,2
6057,2
19249,2
1262,2
1728,2
17182,2
15403,2
15403,2
17729,2
4471,2
4471,3
4471,3
4471,3
3671,2
3671,3
1251,3
1251,1
3967,2
11415,1
11415,2
16693,2
16693,2
5218,2
17659,2
17659,2
1854,2
1854,2
15777,2
15777,2
19249,2
5863,2
9345,2
9345,3
9345,3
9345,2
9345,2
1588,2
7765,2
1176,2
3671,2
3671,3
3671,3
3671,2
3671,3
3671,3
3671,2
16621,2
16621,2
15392,2
16110,2
16110,3
2371,3
313,2
19016,2
14071,2
6057,2
5927,3
3671,3
3671,3
13733,2
20,2
20,3
16368,2
16368,3
18956,2
19249,4
19249,3
19249,3
949,2
949,2
949,2
4219,2
4219,2
13037,2
5218,2
19249,3
19249,3
19249,2
15819,2
15016,2
15016,3
15016,2
16912,2
19249,3
19249,3
7517,2
5218,2
3100,3
3100,3
9717,2
9717,3
11640,2
3671,3
7807,3
7807,3
15245,2
15245,3
14974,2
10530,2
10530,2
11317,2
11317,3
11317,2
11317,2
14560,2
8065,2
8065,3
19249,2
19249,2
2661,2
2661,3
3668,2
5218,3
3671,2
3671,3
5664,2
5664,2
17150,1
11885,2
11885,2
19249,2
19249,2
16482,2
5218,2
14560,2
15971,2
15193,2
4642,2
4642,2
5405,2
5405,2
11508,2
11508,3
11508,2
7772,2
7772,2
11077,2
11077,3
3671,2
3671,3
3690,2
3690,2
15193,2
18858,2
18858,2
18858,2
18858,2
18858,2
18858,2
16103,2
9883,2
7856,2
